slug,name,street,city,state,zip,care_offerings,administrator,phone,url,source_hash,warnings
/communities/amberly-manor,Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,Assisted Living,Tom Trent,(330) 228-4392,https://analyst-assessment-production.up.railway.app/communities/amberly-manor,2d4bf7c1044f9b20,
/communities/bellhaven-at-sycamore-ridge,Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,Assisted Living,Tom Bloom,(260) 365-6510,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-sycamore-ridge,58a8ad1ee9d355ce,
/communities/bellhaven-at-union-square,Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,Assisted Living,Phil Holloway,(330) 519-9639,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-union-square,e2d238e60091418b,
/communities/bellhaven-court-of-altoona,Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,Assisted Living,Elaine Sorensen,(517) 573-9493,https://analyst-assessment-production.up.railway.app/communities/bellhaven-court-of-altoona,3a13ce3ea1c7a191,
/communities/bellhaven-crossings-of-lima,Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,Assisted Living,Tricia Fitch,(231) 539-3617,https://analyst-assessment-production.up.railway.app/communities/bellhaven-crossings-of-lima,b8e945608320a881,
/communities/bellhaven-gardens-of-monroe,Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,Assisted Living,Phil Mabry,(814) 412-2218,https://analyst-assessment-production.up.railway.app/communities/bellhaven-gardens-of-monroe,e94181f83ca72514,
/communities/bellhaven-healthcare-centre-of-ashland,Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,Short-Term Rehabilitation & Nursing,Carla Okafor,(517) 314-5115,https://analyst-assessment-production.up.railway.app/communities/bellhaven-healthcare-centre-of-ashland,710b2269ec3b97cd,
/communities/bellhaven-of-ashtabula,Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,Short-Term Rehabilitation & Nursing,Ned Green,(260) 440-4975,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-ashtabula,fc6df59f7d5b8c30,
/communities/bellhaven-of-batavia,Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,Short-Term Rehabilitation & Nursing,Elaine Lindqvist,(231) 698-3092,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-batavia,692cbc6879b25398,
/communities/bellhaven-of-carlisle,Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,Short-Term Rehabilitation & Nursing,Ken Ashby,(260) 386-7765,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-carlisle,6d593249461c02bb,
/communities/bellhaven-of-chagrin-falls,Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,Assisted Living,Dale Mabry,(231) 283-7448,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chagrin-falls,e34c49a238afe0df,
/communities/bellhaven-of-chesterton,Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,Short-Term Rehabilitation & Nursing,Karen Reyes,(216) 551-3978,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chesterton,1120240cfa230b47,
/communities/bellhaven-of-defiance,Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,Short-Term Rehabilitation & Nursing,Victor Barros,(330) 691-2711,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-defiance,f7bc8aac1f13c721,
/communities/bellhaven-of-goshen,Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,Assisted Living,Tanya Castellano,(330) 405-6040,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-goshen,85b77ca568418e8b,
/communities/bellhaven-of-kalamazoo,Bellhaven of Kalamazoo,3222 Gull Rd,Kalamazoo,MI,49048,Short-Term Rehabilitation & Nursing,Chris Ferraro,(231) 460-1964,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kalamazoo,081bf9254e95bef6,
/communities/bellhaven-of-kettering,Bellhaven of Kettering,3313 Wilmington Pike,Kettering,OH,45429,Short-Term Rehabilitation & Nursing,Priya Ashby,(231) 269-5449,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kettering,904eb3201f4ffe83,
/communities/bellhaven-of-maplewood,Bellhaven of Maplewood,210 Orchard Lane,Maplewood,OH,44280,Assisted Living,Nadia Duval,(614) 250-9447,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-maplewood,7ac65799a3f2b081,
/communities/bellhaven-of-marietta,Bellhaven of Marietta,805 Colegate Dr,Marietta,OH,45750,Short-Term Rehabilitation & Nursing,Rosa Dietz,(614) 337-1967,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marietta,8e9fd46d06a75925,
/communities/bellhaven-of-marion,Bellhaven of Marion,199 Barks Rd W,Marion,OH,43302,Short-Term Rehabilitation & Nursing,Doug Amato,(517) 847-7948,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marion,7b2256aae7bd0efb,
/communities/bellhaven-of-meadville,Bellhaven of Meadville,341 Chestnut St,Meadville,PA,16335,Short-Term Rehabilitation & Nursing,Chris Pike,(419) 848-5389,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-meadville,9371953a1d477024,
/communities/bellhaven-of-new-carlisle,Bellhaven of New Carlisle,875 Elm Street,New Carlisle,OH,45344,Short-Term Rehabilitation & Nursing,Elaine Novak,(614) 900-2177,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-new-carlisle,7a20da3c2ce94394,
/communities/bellhaven-of-owosso,Bellhaven of Owosso,1120 W Main St,Owosso,MI,48867,Assisted Living,Gloria Lambert,(734) 503-1363,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-owosso,3024db0bf089565d,
/communities/bellhaven-of-port-clinton,Bellhaven of Port Clinton,1420 Harbor Point Dr,Port Clinton,OH,43452,Short-Term Rehabilitation & Nursing,Brenda Whitfield,(330) 733-6423,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-port-clinton,5ce8d19082f2b4ef,
/communities/bellhaven-of-portsmouth,Bellhaven of Portsmouth,2222 Gallia St,Portsmouth,OH,45662,Short-Term Rehabilitation & Nursing,Tanya Quinn,(330) 431-2495,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-portsmouth,413c4c90824a2264,
/communities/bellhaven-of-saline,Bellhaven of Saline,980 W Michigan Ave,Saline,MI,48176,Short-Term Rehabilitation & Nursing,Dale Green,(614) 868-2766,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-saline,e0e2ad608bf855af,
/communities/bellhaven-of-tiffin,Bellhaven of Tiffin,45 St Lawrence Dr,Tiffin,OH,44883,Short-Term Rehabilitation & Nursing,Walt Osei,(260) 589-2589,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-tiffin,b952a0b1039ee3c0,
/communities/bellhaven-of-wooster,Bellhaven of Wooster,2301 Cleveland Road,Wooster,OH,44691,Short-Term Rehabilitation & Nursing,Lorna Sorensen,(517) 712-7557,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-wooster,87b5e26bd30c3645,
/communities/bellhaven-of-zanesville,Bellhaven of Zanesville,2680 Maple Ave,Zanesville,OH,43701,Short-Term Rehabilitation & Nursing,Dale Amato,(814) 599-2533,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-zanesville,5ad0de14724bccd9,
/communities/bellhaven-rehabilitation-nursing-of-grove-city,Bellhaven Rehabilitation & Nursing of Grove City,3985 Broadway,Grove City,OH,43123,Short-Term Rehabilitation & Nursing,Marie Vogel,(614) 555-7729,https://analyst-assessment-production.up.railway.app/communities/bellhaven-rehabilitation-nursing-of-grove-city,2b95211c54ad272e,
/communities/bellhaven-shores-of-erie,Bellhaven Shores of Erie,4930 W Lake Rd,Erie,PA,16505,Assisted Living; Memory Support,Angela Quinn,(614) 792-9343,https://analyst-assessment-production.up.railway.app/communities/bellhaven-shores-of-erie,442f262767f31856,
/communities/bellhaven-terrace-of-akron,Bellhaven Terrace of Akron,55 Ridgewood Avenue,Akron,OH,44313,Assisted Living,Chris Lindqvist,(260) 899-4605,https://analyst-assessment-production.up.railway.app/communities/bellhaven-terrace-of-akron,fd3bd83067fd3cf7,
/communities/bellhaven-willow-creek,Bellhaven Willow Creek,8060 Willow Creek Ln,Portage,MI,49024,Memory Support,Walt Mabry,(419) 394-5494,https://analyst-assessment-production.up.railway.app/communities/bellhaven-willow-creek,1a3144561d24285e,
/communities/bellhaven-woods-of-toledo,Bellhaven Woods of Toledo,4850 NW Sylvania Ave,Toledo,OH,43623,Memory Support,Doug Novak,(734) 388-8242,https://analyst-assessment-production.up.railway.app/communities/bellhaven-woods-of-toledo,0fe35dd2043c96e5,
/communities/the-arbors-at-bellhaven-dayton,The Arbors at Bellhaven - Dayton,2210 Salem Ave,Dayton,OH,45406,Memory Support,Ray Novak,(260) 254-7592,https://analyst-assessment-production.up.railway.app/communities/the-arbors-at-bellhaven-dayton,67d8f6fe74e0ea89,
